"Monitoring_Site","Date","Temperature_C"
"309SDD",2016-03-16,9.895
"309SAC",2016-03-29,13.3
"309SAG",2016-03-29,13
"309SSP",2016-03-29,16
"309BLA",2016-03-30,14.645
"309DAV",2016-04-13,18.555
"309SDD",2016-04-20,18.435
"309BLA",2016-04-27,18.6
"309SSP",2016-04-27,17.3
"309SAC",2016-04-28,13.2
"309SAG",2016-04-28,12.4
"309DAV",2016-05-17,20.73
"309BLA",2016-05-24,20.35
"309SSP",2016-05-24,17.8
"309SDD",2016-05-26,15.07
"309DAV",2016-06-21,20.575
"309SSP",2016-06-28,17.3
"309BLA",2016-06-29,15.4
"309DAV",2016-07-20,21.43
"309SDD",2016-07-20,17.85
"309BLA",2016-07-26,22.8
"309SAC",2016-07-26,21.3
"309SAG",2016-07-26,25.7
"309SSP",2016-07-26,21.9
